product_code_identification,title,link,image_link,price,sale_price,brand,category,description,color,size,availability,gender,mpn
6170310705322,CONVERSE | BEBÉ CHUCK TAYLOR ALL STAR AXEL MID,http://doofinder-demo.myshopify.com/products/converse-toddler-chuck-taylor-all-star-axel-mid,https://demo-feed.doofinder.com/images/9e0022e2f92e19ed96c8f908f2cf1b40.jpg,70.00,,CONVERSE,Shoes,"El Converse Chuck Taylor All Star Axel reinterpreta el icónico modelo original con una silueta renovada, para un aspecto y un tacto más premium. Su diseño sin cordones permite que los más pequeños se los pongan y se los quiten con facilidad, mientras que la suela de goma ofrece un agarre fiable, desde el aula hasta el patio de recreo.",,,in stock,kids,SHOCONXXXXXX
37938302124202,CONVERSE | BEBÉ CHUCK TAYLOR ALL STAR AXEL MID (9 / negro),http://doofinder-demo.myshopify.com/products/converse-toddler-chuck-taylor-all-star-axel-mid?variant=37938302124202,https://demo-feed.doofinder.com/images/9e0022e2f92e19ed96c8f908f2cf1b40.jpg,70.00,,CONVERSE,Shoes,"El Converse Chuck Taylor All Star Axel reinterpreta el icónico modelo original con una silueta renovada, para un aspecto y un tacto más premium. Su diseño sin cordones permite que los más pequeños se los pongan y se los quiten con facilidad, mientras que la suela de goma ofrece un agarre fiable, desde el aula hasta el patio de recreo.",black,9,in stock,kids,SHOCONBLA009
37938302091434,CONVERSE | BEBÉ CHUCK TAYLOR ALL STAR AXEL MID (8 / negro),http://doofinder-demo.myshopify.com/products/converse-toddler-chuck-taylor-all-star-axel-mid?variant=37938302091434,https://demo-feed.doofinder.com/images/9e0022e2f92e19ed96c8f908f2cf1b40.jpg,70.00,,CONVERSE,Shoes,"El Converse Chuck Taylor All Star Axel reinterpreta el icónico modelo original con una silueta renovada, para un aspecto y un tacto más premium. Su diseño sin cordones permite que los más pequeños se los pongan y se los quiten con facilidad, mientras que la suela de goma ofrece un agarre fiable, desde el aula hasta el patio de recreo.",black,8,in stock,kids,SHOCONBLA008
37938302058666,CONVERSE | BEBÉ CHUCK TAYLOR ALL STAR AXEL MID (7 / negro),http://doofinder-demo.myshopify.com/products/converse-toddler-chuck-taylor-all-star-axel-mid?variant=37938302058666,https://demo-feed.doofinder.com/images/9e0022e2f92e19ed96c8f908f2cf1b40.jpg,70.00,,CONVERSE,Shoes,"El Converse Chuck Taylor All Star Axel reinterpreta el icónico modelo original con una silueta renovada, para un aspecto y un tacto más premium. Su diseño sin cordones permite que los más pequeños se los pongan y se los quiten con facilidad, mientras que la suela de goma ofrece un agarre fiable, desde el aula hasta el patio de recreo.",black,7,in stock,kids,SHOCONBLA007
37938302025898,CONVERSE | BEBÉ CHUCK TAYLOR ALL STAR AXEL MID (6 / negro),http://doofinder-demo.myshopify.com/products/converse-toddler-chuck-taylor-all-star-axel-mid?variant=37938302025898,https://demo-feed.doofinder.com/images/9e0022e2f92e19ed96c8f908f2cf1b40.jpg,70.00,,CONVERSE,Shoes,"El Converse Chuck Taylor All Star Axel reinterpreta el icónico modelo original con una silueta renovada, para un aspecto y un tacto más premium. Su diseño sin cordones permite que los más pequeños se los pongan y se los quiten con facilidad, mientras que la suela de goma ofrece un agarre fiable, desde el aula hasta el patio de recreo.",black,6,in stock,kids,SHOCONBLA006
37938301993130,CONVERSE | BEBÉ CHUCK TAYLOR ALL STAR AXEL MID (5 / negro),http://doofinder-demo.myshopify.com/products/converse-toddler-chuck-taylor-all-star-axel-mid?variant=37938301993130,https://demo-feed.doofinder.com/images/9e0022e2f92e19ed96c8f908f2cf1b40.jpg,70.00,,CONVERSE,Shoes,"El Converse Chuck Taylor All Star Axel reinterpreta el icónico modelo original con una silueta renovada, para un aspecto y un tacto más premium. Su diseño sin cordones permite que los más pequeños se los pongan y se los quiten con facilidad, mientras que la suela de goma ofrece un agarre fiable, desde el aula hasta el patio de recreo.",black,5,in stock,kids,SHOCONBLA005
6170310574250,CONVERSE | CHUCK TAYLOR ALL STAR LO,http://doofinder-demo.myshopify.com/products/converse-chuck-taylor-all-star-lo,https://demo-feed.doofinder.com/images/fae150570c8ce6ddc4f787bf77b02c95.jpg,100.00,,CONVERSE,Shoes,"La zapatilla Converse Chuck Taylor All Star II Lo. Conserva la silueta revolucionaria en la que todos confiamos, pero ahora mejorada. Sus nuevas características incluyen una plantilla Lunarlon que añade amortiguación y soporte para el arco del pie. El forro de microgamuza, la construcción en lona premium y la lengüeta acolchada y antideslizante ofrecen una comodidad y durabilidad superiores. Los ojales moldeados aportan un toque premium. La chapa estampada y serigrafiada, junto con el parche bordado en forma de estrella en el tobillo, añaden una profundidad y una dimensión llamativas a estos detalles clásicos y reconocibles.",,,in stock,unisex,SHOCONXXXXXX
37938301141162,CONVERSE | CHUCK TAYLOR ALL STAR LO (13 / blanco),http://doofinder-demo.myshopify.com/products/converse-chuck-taylor-all-star-lo?variant=37938301141162,https://demo-feed.doofinder.com/images/fae150570c8ce6ddc4f787bf77b02c95.jpg,100.00,,CONVERSE,Shoes,"La zapatilla Converse Chuck Taylor All Star II Lo. Conserva la silueta revolucionaria en la que todos confiamos, pero ahora mejorada. Sus nuevas características incluyen una plantilla Lunarlon que añade amortiguación y soporte para el arco del pie. El forro de microgamuza, la construcción en lona premium y la lengüeta acolchada y antideslizante ofrecen una comodidad y durabilidad superiores. Los ojales moldeados aportan un toque premium. La chapa estampada y serigrafiada, junto con el parche bordado en forma de estrella en el tobillo, añaden una profundidad y una dimensión llamativas a estos detalles clásicos y reconocibles.",white,13,in stock,unisex,SHOCONWHI013
37938301108394,CONVERSE | CHUCK TAYLOR ALL STAR LO (12 / blanco),http://doofinder-demo.myshopify.com/products/converse-chuck-taylor-all-star-lo?variant=37938301108394,https://demo-feed.doofinder.com/images/fae150570c8ce6ddc4f787bf77b02c95.jpg,100.00,,CONVERSE,Shoes,"La zapatilla Converse Chuck Taylor All Star II Lo. Conserva la silueta revolucionaria en la que todos confiamos, pero ahora mejorada. Sus nuevas características incluyen una plantilla Lunarlon que añade amortiguación y soporte para el arco del pie. El forro de microgamuza, la construcción en lona premium y la lengüeta acolchada y antideslizante ofrecen una comodidad y durabilidad superiores. Los ojales moldeados aportan un toque premium. La chapa estampada y serigrafiada, junto con el parche bordado en forma de estrella en el tobillo, añaden una profundidad y una dimensión llamativas a estos detalles clásicos y reconocibles.",white,12,in stock,unisex,SHOCONWHI012
37938301075626,CONVERSE | CHUCK TAYLOR ALL STAR LO (11 / blanco),http://doofinder-demo.myshopify.com/products/converse-chuck-taylor-all-star-lo?variant=37938301075626,https://demo-feed.doofinder.com/images/fae150570c8ce6ddc4f787bf77b02c95.jpg,100.00,,CONVERSE,Shoes,"La zapatilla Converse Chuck Taylor All Star II Lo. Conserva la silueta revolucionaria en la que todos confiamos, pero ahora mejorada. Sus nuevas características incluyen una plantilla Lunarlon que añade amortiguación y soporte para el arco del pie. El forro de microgamuza, la construcción en lona premium y la lengüeta acolchada y antideslizante ofrecen una comodidad y durabilidad superiores. Los ojales moldeados aportan un toque premium. La chapa estampada y serigrafiada, junto con el parche bordado en forma de estrella en el tobillo, añaden una profundidad y una dimensión llamativas a estos detalles clásicos y reconocibles.",white,11,in stock,unisex,SHOCONWHI011
