6170310705322,CONVERSE | TODDLER CHUCK TAYLOR ALL STAR AXEL MID,http://doofinder-demo.myshopify.com/products/converse-toddler-chuck-taylor-all-star-axel-mid,https://demo-feed.doofinder.com/images/9e0022e2f92e19ed96c8f908f2cf1b40.jpg,70.00,61.98,CONVERSE,Shoes,"The Converse Chuck Taylor All Star Axel recasts the iconic original in a refreshed silhouette for a premium look and feel. A no-tie design lets kids slip them on and go, while a rubber outsole delivers reliable traction from the classroom to the playground.",,,in stock,kids,SHOCONXXXXXX
37938302124202,CONVERSE | TODDLER CHUCK TAYLOR ALL STAR AXEL MID (9 / black),http://doofinder-demo.myshopify.com/products/converse-toddler-chuck-taylor-all-star-axel-mid?variant=37938302124202,https://demo-feed.doofinder.com/images/9e0022e2f92e19ed96c8f908f2cf1b40.jpg,70.00,,CONVERSE,Shoes,"The Converse Chuck Taylor All Star Axel recasts the iconic original in a refreshed silhouette for a premium look and feel. A no-tie design lets kids slip them on and go, while a rubber outsole delivers reliable traction from the classroom to the playground.",black,9,in stock,kids,SHOCONBLA009
37938302091434,CONVERSE | TODDLER CHUCK TAYLOR ALL STAR AXEL MID (8 / black),http://doofinder-demo.myshopify.com/products/converse-toddler-chuck-taylor-all-star-axel-mid?variant=37938302091434,https://demo-feed.doofinder.com/images/9e0022e2f92e19ed96c8f908f2cf1b40.jpg,70.00,,CONVERSE,Shoes,"The Converse Chuck Taylor All Star Axel recasts the iconic original in a refreshed silhouette for a premium look and feel. A no-tie design lets kids slip them on and go, while a rubber outsole delivers reliable traction from the classroom to the playground.",black,8,in stock,kids,SHOCONBLA008
37938302058666,CONVERSE | TODDLER CHUCK TAYLOR ALL STAR AXEL MID (7 / black),http://doofinder-demo.myshopify.com/products/converse-toddler-chuck-taylor-all-star-axel-mid?variant=37938302058666,https://demo-feed.doofinder.com/images/9e0022e2f92e19ed96c8f908f2cf1b40.jpg,70.00,,CONVERSE,Shoes,"The Converse Chuck Taylor All Star Axel recasts the iconic original in a refreshed silhouette for a premium look and feel. A no-tie design lets kids slip them on and go, while a rubber outsole delivers reliable traction from the classroom to the playground.",black,7,in stock,kids,SHOCONBLA007
37938302025898,CONVERSE | TODDLER CHUCK TAYLOR ALL STAR AXEL MID (6 / black),http://doofinder-demo.myshopify.com/products/converse-toddler-chuck-taylor-all-star-axel-mid?variant=37938302025898,https://demo-feed.doofinder.com/images/9e0022e2f92e19ed96c8f908f2cf1b40.jpg,70.00,,CONVERSE,Shoes,"The Converse Chuck Taylor All Star Axel recasts the iconic original in a refreshed silhouette for a premium look and feel. A no-tie design lets kids slip them on and go, while a rubber outsole delivers reliable traction from the classroom to the playground.",black,6,in stock,kids,SHOCONBLA006
37938301993130,CONVERSE | TODDLER CHUCK TAYLOR ALL STAR AXEL MID (5 / black),http://doofinder-demo.myshopify.com/products/converse-toddler-chuck-taylor-all-star-axel-mid?variant=37938301993130,https://demo-feed.doofinder.com/images/9e0022e2f92e19ed96c8f908f2cf1b40.jpg,70.00,,CONVERSE,Shoes,"The Converse Chuck Taylor All Star Axel recasts the iconic original in a refreshed silhouette for a premium look and feel. A no-tie design lets kids slip them on and go, while a rubber outsole delivers reliable traction from the classroom to the playground.",black,5,in stock,kids,SHOCONBLA005
6170310574250,CONVERSE | CHUCK TAYLOR ALL STAR LO,http://doofinder-demo.myshopify.com/products/converse-chuck-taylor-all-star-lo,https://demo-feed.doofinder.com/images/fae150570c8ce6ddc4f787bf77b02c95.jpg,100.00,,CONVERSE,Shoes,"The Converse Chuck Taylor All Star II Lo sneaker. Retaining the revolutionary silhouette we all rely on, but now made even better. New features include Lunarlon sockliner, adding cushioning and arch support. Micro-suede lining, premium canvas construction and a padded, non-slip tongue deliver superior comfort and durability. Moulded eyelets add a premium touch. The embossed, screen-printed license plate and embroidered, star-centered ankle patch add striking depth and dimension to recognizable, classic details.",,,out of stock,unisex,SHOCONXXXXXX
37938301141162,CONVERSE | CHUCK TAYLOR ALL STAR LO (13 / white),http://doofinder-demo.myshopify.com/products/converse-chuck-taylor-all-star-lo?variant=37938301141162,https://demo-feed.doofinder.com/images/fae150570c8ce6ddc4f787bf77b02c95.jpg,100.00,,CONVERSE,Shoes,"The Converse Chuck Taylor All Star II Lo sneaker. Retaining the revolutionary silhouette we all rely on, but now made even better. New features include Lunarlon sockliner, adding cushioning and arch support. Micro-suede lining, premium canvas construction and a padded, non-slip tongue deliver superior comfort and durability. Moulded eyelets add a premium touch. The embossed, screen-printed license plate and embroidered, star-centered ankle patch add striking depth and dimension to recognizable, classic details.",white,13,in stock,unisex,SHOCONWHI013
37938301108394,CONVERSE | CHUCK TAYLOR ALL STAR LO (12 / white),http://doofinder-demo.myshopify.com/products/converse-chuck-taylor-all-star-lo?variant=37938301108394,https://demo-feed.doofinder.com/images/fae150570c8ce6ddc4f787bf77b02c95.jpg,100.00,,CONVERSE,Shoes,"The Converse Chuck Taylor All Star II Lo sneaker. Retaining the revolutionary silhouette we all rely on, but now made even better. New features include Lunarlon sockliner, adding cushioning and arch support. Micro-suede lining, premium canvas construction and a padded, non-slip tongue deliver superior comfort and durability. Moulded eyelets add a premium touch. The embossed, screen-printed license plate and embroidered, star-centered ankle patch add striking depth and dimension to recognizable, classic details.",white,12,out of stock,unisex,SHOCONWHI012
37938301075626,CONVERSE | CHUCK TAYLOR ALL STAR LO (11 / white),http://doofinder-demo.myshopify.com/products/converse-chuck-taylor-all-star-lo?variant=37938301075626,https://demo-feed.doofinder.com/images/fae150570c8ce6ddc4f787bf77b02c95.jpg,100.00,,CONVERSE,Shoes,"The Converse Chuck Taylor All Star II Lo sneaker. Retaining the revolutionary silhouette we all rely on, but now made even better. New features include Lunarlon sockliner, adding cushioning and arch support. Micro-suede lining, premium canvas construction and a padded, non-slip tongue deliver superior comfort and durability. Moulded eyelets add a premium touch. The embossed, screen-printed license plate and embroidered, star-centered ankle patch add striking depth and dimension to recognizable, classic details.",white,11,out of stock,unisex,SHOCONWHI011
37938301042858,CONVERSE | CHUCK TAYLOR ALL STAR LO (10 / white),http://doofinder-demo.myshopify.com/products/converse-chuck-taylor-all-star-lo?variant=37938301042858,https://demo-feed.doofinder.com/images/fae150570c8ce6ddc4f787bf77b02c95.jpg,100.00,,CONVERSE,Shoes,"The Converse Chuck Taylor All Star II Lo sneaker. Retaining the revolutionary silhouette we all rely on, but now made even better. New features include Lunarlon sockliner, adding cushioning and arch support. Micro-suede lining, premium canvas construction and a padded, non-slip tongue deliver superior comfort and durability. Moulded eyelets add a premium touch. The embossed, screen-printed license plate and embroidered, star-centered ankle patch add striking depth and dimension to recognizable, classic details.",white,10,out of stock,unisex,SHOCONWHI010
37938301010090,CONVERSE | CHUCK TAYLOR ALL STAR LO (9 / white),http://doofinder-demo.myshopify.com/products/converse-chuck-taylor-all-star-lo?variant=37938301010090,https://demo-feed.doofinder.com/images/fae150570c8ce6ddc4f787bf77b02c95.jpg,100.00,,CONVERSE,Shoes,"The Converse Chuck Taylor All Star II Lo sneaker. Retaining the revolutionary silhouette we all rely on, but now made even better. New features include Lunarlon sockliner, adding cushioning and arch support. Micro-suede lining, premium canvas construction and a padded, non-slip tongue deliver superior comfort and durability. Moulded eyelets add a premium touch. The embossed, screen-printed license plate and embroidered, star-centered ankle patch add striking depth and dimension to recognizable, classic details.",white,9,in stock,unisex,SHOCONWHI009
37938300977322,CONVERSE | CHUCK TAYLOR ALL STAR LO (8 / white),http://doofinder-demo.myshopify.com/products/converse-chuck-taylor-all-star-lo?variant=37938300977322,https://demo-feed.doofinder.com/images/fae150570c8ce6ddc4f787bf77b02c95.jpg,100.00,,CONVERSE,Shoes,"The Converse Chuck Taylor All Star II Lo sneaker. Retaining the revolutionary silhouette we all rely on, but now made even better. New features include Lunarlon sockliner, adding cushioning and arch support. Micro-suede lining, premium canvas construction and a padded, non-slip tongue deliver superior comfort and durability. Moulded eyelets add a premium touch. The embossed, screen-printed license plate and embroidered, star-centered ankle patch add striking depth and dimension to recognizable, classic details.",white,8,in stock,unisex,SHOCONWHI008
37938300944554,CONVERSE | CHUCK TAYLOR ALL STAR LO (7 / white),http://doofinder-demo.myshopify.com/products/converse-chuck-taylor-all-star-lo?variant=37938300944554,https://demo-feed.doofinder.com/images/fae150570c8ce6ddc4f787bf77b02c95.jpg,100.00,,CONVERSE,Shoes,"The Converse Chuck Taylor All Star II Lo sneaker. Retaining the revolutionary silhouette we all rely on, but now made even better. New features include Lunarlon sockliner, adding cushioning and arch support. Micro-suede lining, premium canvas construction and a padded, non-slip tongue deliver superior comfort and durability. Moulded eyelets add a premium touch. The embossed, screen-printed license plate and embroidered, star-centered ankle patch add striking depth and dimension to recognizable, classic details.",white,7,out of stock,unisex,SHOCONWHI007
37938300911786,CONVERSE | CHUCK TAYLOR ALL STAR LO (6 / white),http://doofinder-demo.myshopify.com/products/converse-chuck-taylor-all-star-lo?variant=37938300911786,https://demo-feed.doofinder.com/images/fae150570c8ce6ddc4f787bf77b02c95.jpg,100.00,,CONVERSE,Shoes,"The Converse Chuck Taylor All Star II Lo sneaker. Retaining the revolutionary silhouette we all rely on, but now made even better. New features include Lunarlon sockliner, adding cushioning and arch support. Micro-suede lining, premium canvas construction and a padded, non-slip tongue deliver superior comfort and durability. Moulded eyelets add a premium touch. The embossed, screen-printed license plate and embroidered, star-centered ankle patch add striking depth and dimension to recognizable, classic details.",white,6,in stock,unisex,SHOCONWHI006
37938300879018,CONVERSE | CHUCK TAYLOR ALL STAR LO (5 / white),http://doofinder-demo.myshopify.com/products/converse-chuck-taylor-all-star-lo?variant=37938300879018,https://demo-feed.doofinder.com/images/fae150570c8ce6ddc4f787bf77b02c95.jpg,100.00,,CONVERSE,Shoes,"The Converse Chuck Taylor All Star II Lo sneaker. Retaining the revolutionary silhouette we all rely on, but now made even better. New features include Lunarlon sockliner, adding cushioning and arch support. Micro-suede lining, premium canvas construction and a padded, non-slip tongue deliver superior comfort and durability. Moulded eyelets add a premium touch. The embossed, screen-printed license plate and embroidered, star-centered ankle patch add striking depth and dimension to recognizable, classic details.",white,5,out of stock,unisex,SHOCONWHI005
37938300846250,CONVERSE | CHUCK TAYLOR ALL STAR LO (4 / white),http://doofinder-demo.myshopify.com/products/converse-chuck-taylor-all-star-lo?variant=37938300846250,https://demo-feed.doofinder.com/images/fae150570c8ce6ddc4f787bf77b02c95.jpg,100.00,,CONVERSE,Shoes,"The Converse Chuck Taylor All Star II Lo sneaker. Retaining the revolutionary silhouette we all rely on, but now made even better. New features include Lunarlon sockliner, adding cushioning and arch support. Micro-suede lining, premium canvas construction and a padded, non-slip tongue deliver superior comfort and durability. Moulded eyelets add a premium touch. The embossed, screen-printed license plate and embroidered, star-centered ankle patch add striking depth and dimension to recognizable, classic details.",white,4,in stock,unisex,SHOCONWHI004
37938300813482,CONVERSE | CHUCK TAYLOR ALL STAR LO (3 / white),http://doofinder-demo.myshopify.com/products/converse-chuck-taylor-all-star-lo?variant=37938300813482,https://demo-feed.doofinder.com/images/fae150570c8ce6ddc4f787bf77b02c95.jpg,100.00,,CONVERSE,Shoes,"The Converse Chuck Taylor All Star II Lo sneaker. Retaining the revolutionary silhouette we all rely on, but now made even better. New features include Lunarlon sockliner, adding cushioning and arch support. Micro-suede lining, premium canvas construction and a padded, non-slip tongue deliver superior comfort and durability. Moulded eyelets add a premium touch. The embossed, screen-printed license plate and embroidered, star-centered ankle patch add striking depth and dimension to recognizable, classic details.",white,3,in stock,unisex,SHOCONWHI003
